session_pitch,pitch_speed_mph,transfer_energy_fp_br,session_mass_pounds,session_height_feet
2815_2,90.7,3.704649912573248,214.003345248,6.2500002
2815_3,89.6,3.39747316618551,214.003345248,6.2500002
2815_4,89.6,2.663693279635947,214.003345248,6.2500002
2815_5,89.6,3.0468528150100065,214.003345248,6.2500002
2818_1,86.7,0.07624020450551582,212.003313984,6.4166668719999995
2818_2,85.8,0.04318961050546038,212.003313984,6.4166668719999995
2818_3,86.3,0.28517446075368535,212.003313984,6.4166668719999995
2818_4,85.8,0.5248908785064789,212.003313984,6.4166668719999995
2818_5,85.8,0.5034142705975356,212.003313984,6.4166668719999995
2833_1,85.5,-0.4252507435105639,185.00289191999997,5.916666856
2833_2,85.9,-0.4515248894498821,185.00289191999997,5.916666856
2833_3,85.2,-0.14813773372267042,185.00289191999997,5.916666856
2833_4,85.8,-0.264547815929114,185.00289191999997,5.916666856
2833_5,85.4,-0.22623832390645435,185.00289191999997,5.916666856
2840_1,82.1,-2.0947354355939467,187.002923184,6.333333536
2840_2,82.3,-1.652150878449231,187.002923184,6.333333536
2840_4,81.9,-2.1493048865155915,187.002923184,6.333333536
2840_5,81.5,-2.0428487549395493,187.002923184,6.333333536
2843_1,86.9,-0.11958063368403683,184.00287628799998,5.83333352
2843_2,85.8,-0.32980945061194034,184.00287628799998,5.83333352
2843_3,86.3,-0.2850653967287941,184.00287628799998,5.83333352
2843_4,85.3,-0.3099715309672724,184.00287628799998,5.83333352
2843_5,86.2,-0.769411650733602,184.00287628799998,5.83333352
2853_1,82.4,-1.2413223359594245,197.003079504,5.83333352
2853_3,83.8,-1.5868408448588973,197.003079504,5.83333352
2853_4,82.8,-1.2150643150268157,197.003079504,5.83333352
2853_5,82.8,-1.411426158460268,197.003079504,5.83333352
2857_1,72.6,-3.4965932840485436,153.002391696,6.083333528
2857_2,73.5,-3.0180568663781475,153.002391696,6.083333528
2857_3,73.1,-3.660968985558406,153.002391696,6.083333528
2857_5,73.3,-3.1744988490914126,153.002391696,6.083333528
2859_1,90.9,2.5442925267652607,207.003235824,6.083333528
2859_2,91.5,2.0500775094947183,207.003235824,6.083333528
2859_3,90.8,2.5109365577779696,207.003235824,6.083333528
2859_4,90.8,2.204823158659824,207.003235824,6.083333528
2859_5,91.4,2.3620005571208935,207.003235824,6.083333528
2860_1,89.0,-0.04852662147397633,174.00271996799998,5.916666856
2860_2,88.6,0.06907282301962064,174.00271996799998,5.916666856
2860_3,87.8,-3.526056079743837e-05,174.00271996799998,5.916666856
2860_5,89.5,0.022727310120751555,174.00271996799998,5.916666856
2861_1,87.5,-0.8988871427325686,182.00284502399998,5.750000184
2861_2,87.4,-1.0857062752459974,182.00284502399998,5.750000184
2861_3,87.6,-0.5655271965782437,182.00284502399998,5.750000184
2861_4,88.9,-0.7972788760049019,182.00284502399998,5.750000184
2861_5,87.8,-0.9271309286379169,182.00284502399998,5.750000184
2865_1,85.9,0.2140238497938446,193.00301697599997,6.166666864
2865_2,86.0,0.07086552140580547,193.00301697599997,6.166666864
2865_3,85.8,0.1603082100901319,193.00301697599997,6.166666864
2865_4,85.1,0.39938236471036587,193.00301697599997,6.166666864
2865_5,85.1,0.08978533185771768,193.00301697599997,6.166666864
2882_1,87.8,-0.15879751740894124,196.00306387199998,6.083333528
2882_2,84.9,-0.2803651668515728,196.00306387199998,6.083333528
2882_4,84.1,-0.07732015478541457,196.00306387199998,6.083333528
2882_5,83.4,-0.6644535065359843,196.00306387199998,6.083333528
2889_1,79.5,1.4038640493091394,245.00382983999998,6.083333528
2889_2,79.8,1.0915278184895243,245.00382983999998,6.083333528
2889_3,78.4,-0.28429669675057545,245.00382983999998,6.083333528
2889_4,78.6,0.96589657316773,245.00382983999998,6.083333528
2889_5,79.4,1.103243151120773,245.00382983999998,6.083333528
2891_1,87.3,3.7380999481432093,251.00392363199998,6.166666864
2891_2,87.2,3.9959661799132453,251.00392363199998,6.166666864
2891_3,86.9,3.660817613027351,251.00392363199998,6.166666864
2891_4,87.9,4.070253465322718,251.00392363199998,6.166666864
2891_5,87.9,3.8852204259611853,251.00392363199998,6.166666864
2905_1,88.0,0.8951408345976317,219.00342340799997,6.166666864
2905_2,87.8,1.3208612389797663,219.00342340799997,6.166666864
2905_3,88.4,1.654649623810336,219.00342340799997,6.166666864
2905_4,88.3,1.5638370924198113,219.00342340799997,6.166666864
2905_5,87.6,1.4821906333895911,219.00342340799997,6.166666864
2907_1,78.8,-1.780047472219568,182.00284502399998,6.083333528
2907_2,79.1,-1.7693781543520386,182.00284502399998,6.083333528
2907_3,79.6,-1.7053455891830678,182.00284502399998,6.083333528
2907_4,78.8,-1.781148001055247,182.00284502399998,6.083333528
2907_5,79.4,-1.6542566000590557,182.00284502399998,6.083333528
2916_1,93.5,1.022955475032046,191.002985712,6.083333528
2916_2,93.0,1.050551666021489,191.002985712,6.083333528
2916_3,94.2,1.2329204812829142,191.002985712,6.083333528
2916_4,94.4,0.8785710697662085,191.002985712,6.083333528
